t_ms,tilt_angle,gyro_rate,balance_out,spd_fb_L,spd_fb_R,iq_L,iq_R,accel_X,accel_Y,accel_Z
2.1,0.411101,0.448800,0.000000,-0.797779,-0.668124,-0.000000,0.000601,-0.004395,0.003906,1.149902
2.1,0.400910,0.378395,0.000000,-0.366147,-0.748064,0.000864,-0.000470,0.008789,0.008789,1.154297
2.1,0.387320,0.410160,0.000000,-0.377972,-0.317681,-0.000863,0.000732,0.000977,-0.003418,1.142090
2.1,0.377905,0.820592,0.000000,-0.203301,-0.071293,-0.000130,0.000731,0.010742,-0.009766,1.138184
2.1,0.371643,0.686412,0.000000,0.037735,-0.235778,-0.000000,-0.000134,-0.001953,0.000488,1.143555
2.1,0.345585,0.715507,0.000000,0.149107,-0.114614,-0.000863,0.000731,0.004395,-0.010254,1.124023
2.1,0.317799,0.735105,0.000000,0.153490,0.036947,-0.000000,0.000000,0.009277,-0.009766,1.151367
2.1,0.300308,0.515762,0.000000,0.080080,0.093436,0.000130,0.000000,0.004395,-0.008301,1.155762
6.7,0.294393,0.815981,0.000000,-0.060997,0.090870,-0.000128,0.000000,0.007812,-0.001953,1.145020
6.7,0.292365,0.625779,0.000000,-0.481884,0.044775,-0.000000,0.000000,0.009277,-0.000977,1.136719
6.7,0.284440,0.473148,0.000000,-0.400156,0.006334,-0.000000,0.000000,0.006348,-0.003906,1.126953
6.7,0.271502,0.550792,0.000000,-0.140350,-0.020777,-0.000000,-0.001461,-0.000488,-0.009277,1.129395
6.7,0.266796,0.532012,0.000000,0.071054,-0.019264,-0.000000,0.000000,0.002441,-0.015137,1.126953
6.7,0.267267,0.718110,0.000000,0.138229,-0.017301,-0.000000,-0.001595,-0.001465,0.004395,1.152832
6.7,0.255295,0.796383,0.000000,0.103977,0.004468,-0.000128,0.000000,0.003906,-0.007324,1.135254
6.7,0.253127,0.841184,0.000000,0.056960,0.000670,-0.000000,0.000731,0.002930,-0.000488,1.135742
6.7,0.239121,0.771405,0.000000,0.004479,-0.005766,-0.000000,0.000000,0.009766,-0.006348,1.137207
6.7,0.220196,0.854460,0.000000,-0.025116,0.008869,-0.000000,0.000731,0.006348,-0.016113,1.126953
6.7,0.190467,0.830542,0.000000,-0.028461,0.031032,0.000862,0.000000,-0.000977,-0.016602,1.111816
6.7,0.162849,1.067505,0.000000,-0.040395,-0.000138,-0.000000,0.000000,0.002441,-0.008789,1.161133
6.7,0.148269,1.306842,0.000000,0.406302,0.167098,-0.000000,0.000000,0.004395,0.000977,1.156250
6.7,0.142567,1.145658,0.000000,0.785354,0.736834,-0.000000,0.000734,-0.005859,0.003906,1.146484
6.7,0.141232,1.356732,0.000000,0.699131,1.205528,-0.000000,0.000000,0.001953,-0.003418,1.155762
6.7,0.143756,1.344591,0.000000,0.919962,1.157901,-0.000000,0.000000,0.011230,-0.007812,1.139648
6.8,0.151973,1.445738,0.000000,0.773477,0.909180,-0.000140,0.000000,0.007324,0.004883,1.142578
6.8,0.158678,1.621463,0.000000,0.598082,0.646981,-0.000000,0.000000,0.001465,0.008789,1.130859
6.8,0.172418,1.189132,0.000000,0.497481,0.405871,-0.000000,0.000000,-0.000488,0.014160,1.133301
