t_ms,speed_fb,iq,speed_ref
0.0,-0.002137,-0.000314,50.000000,0.000005
1.0,10.199098,0.749133,50.000000,0.000412
2.0,16.059582,0.581422,50.000000,0.001377
3.0,21.683594,0.519714,50.000000,0.001924
4.0,27.585333,0.440449,50.000000,0.001838
5.0,32.759407,0.356259,50.000000,0.001571
6.0,38.424389,0.280736,50.000000,0.000768
7.0,42.878193,0.195223,50.000000,0.000088
8.0,46.434338,0.129829,50.000000,-0.000501
9.0,49.471813,0.078629,50.000000,-0.001071
10.0,50.752705,0.030328,50.000000,-0.001167
11.0,50.984280,0.012584,50.000000,-0.000958
12.0,50.567772,0.006102,50.000000,-0.000598
13.0,49.967651,0.013118,50.000000,-0.000199
14.0,48.642544,0.022234,50.000000,0.000436
15.0,47.260376,0.042975,50.000000,0.001084
16.0,46.088261,0.061940,50.000000,0.001639
17.0,46.002811,0.081106,50.000000,0.001803
18.0,45.627769,0.081424,50.000000,0.002038
19.0,45.244541,0.089012,50.000000,0.002278
20.0,45.618343,0.094381,50.000000,0.002230
21.0,46.973049,0.088948,50.000000,0.001809
22.0,47.012199,0.069398,50.000000,0.001833
23.0,47.913441,0.069353,50.000000,0.001543
24.0,48.264179,0.055605,50.000000,0.001430
25.0,49.031857,0.050822,50.000000,0.001162
26.0,49.100174,0.039621,50.000000,0.001139
27.0,49.559113,0.039069,50.000000,0.000973
28.0,50.089050,0.031553,50.000000,0.000772
29.0,49.831741,0.024795,50.000000,0.000854
30.0,49.990486,0.027952,50.000000,0.000789
31.0,50.313522,0.025693,50.000000,0.000666
32.0,49.894520,0.020126,50.000000,0.000801
33.0,49.981979,0.026808,50.000000,0.000765
34.0,50.262177,0.024746,50.000000,0.000656
35.0,49.856663,0.021258,50.000000,0.000794
36.0,49.954876,0.027554,50.000000,0.000758
37.0,50.250988,0.025167,50.000000,0.000646
38.0,51.317482,0.021402,50.000000,0.000258
39.0,52.499634,0.005148,50.000000,-0.000184
40.0,52.737919,-0.013514,50.000000,-0.000307
41.0,53.278183,-0.015339,50.000000,-0.000524
42.0,53.808384,-0.024067,50.000000,-0.000747
43.0,53.494991,-0.032902,50.000000,-0.000673
44.0,52.895657,-0.027593,50.000000,-0.000482
45.0,52.275723,-0.020120,50.000000,-0.000277
46.0,51.042801,-0.012107,50.000000,0.000152
47.0,50.543560,0.005634,50.000000,0.000338
48.0,49.748707,0.014023,50.000000,0.000636
49.0,48.997913,0.026689,50.000000,0.000932
50.0,48.394390,0.037242,50.000000,0.001172
51.0,47.292812,0.047638,50.000000,0.001607
52.0,46.890308,0.062855,50.000000,0.001792
53.0,46.894630,0.069355,50.000000,0.001832
54.0,47.068817,0.069340,50.000000,0.001803
55.0,47.305264,0.069700,50.000000,0.001754
56.0,48.220837,0.064273,50.000000,0.001450
57.0,49.244171,0.051532,50.000000,0.001090
