t_ms,tilt_angle,gyro_rate,balance_out,spd_fb_L,spd_fb_R,iq_L,iq_R,accel_X,accel_Y,accel_Z
2.6,2.439589,-0.469087,0.000000,0.057162,0.058093,0.000000,-0.000000,-0.015137,0.020508,1.140137
2.6,2.417968,-0.122223,0.000000,0.014675,0.118311,0.000000,-0.000000,0.007324,0.023926,1.138184
2.6,2.399529,-0.328091,0.000000,-0.006020,0.096783,0.000778,-0.000682,-0.005371,0.045410,1.159180
2.6,2.380690,-0.259780,0.000000,-0.010600,0.031772,0.000000,-0.000000,-0.000488,0.039062,1.153809
2.6,2.357049,-0.319704,0.000000,-0.007195,-0.013003,0.000778,-0.000000,-0.004395,0.041992,1.157715
2.6,2.340110,-0.279448,0.000000,-0.001050,-0.010073,0.000000,0.000889,-0.001953,0.038086,1.148926
2.6,2.321833,-0.233229,0.000000,-0.354270,-0.019795,0.000000,-0.000000,0.011719,0.051270,1.148926
7.2,2.304534,-0.345504,0.000000,-0.441364,0.000293,0.000832,0.000682,0.005859,0.024902,1.132324
7.2,2.285372,-0.346109,0.000000,-0.636098,-0.172333,0.000000,-0.001361,0.000488,0.037598,1.147461
7.2,2.275109,-0.333802,0.000000,-0.393813,-0.465455,0.000833,0.000890,-0.005371,0.042969,1.142090
7.2,2.258379,-0.070804,0.000000,-0.307150,-0.302236,0.000000,0.000890,0.004395,0.034180,1.142090
7.2,2.242409,-0.378663,0.000000,-0.292982,-0.469568,-0.001608,0.000679,0.012207,0.030273,1.134766
7.2,2.217034,-0.692363,0.000000,-0.170588,-0.681260,0.000000,0.000891,0.002441,0.032227,1.132324
7.2,2.192508,-0.729383,0.000000,-0.398976,-0.763565,0.000000,-0.000892,0.007324,0.022461,1.131348
7.2,2.175123,-0.475650,0.000000,-0.239969,-0.560463,0.000000,-0.001568,0.005859,0.023438,1.135254
7.2,2.162658,-0.016905,0.000000,-0.009368,-0.461539,-0.000773,-0.000000,0.014648,0.026367,1.124512
7.2,2.154627,-0.307535,0.000000,0.116522,-0.256059,0.000000,-0.000000,-0.006348,0.041016,1.136230
7.2,2.143065,-0.275170,0.000000,0.138546,0.050261,0.000000,0.000219,-0.006836,0.044434,1.160156
7.2,2.120807,0.031507,0.000000,0.080808,0.200686,0.000000,-0.000000,0.014648,0.039551,1.162109
7.2,2.107860,0.007304,0.000000,0.017816,0.189554,0.000063,0.000674,-0.001465,0.040527,1.160645
7.2,2.089677,-0.328906,0.000000,-0.008417,0.085958,-0.000898,-0.000000,0.003906,0.043457,1.159180
7.2,2.077880,-0.023606,0.000000,-0.017832,-0.008300,0.000000,-0.000000,-0.004883,0.059570,1.148926
7.2,2.074670,-0.217178,0.000000,-0.001473,-0.014025,-0.000773,0.000674,0.000977,0.063965,1.154785
7.2,2.075060,-0.390532,0.000000,-0.025825,-0.024993,-0.000063,-0.000000,0.010742,0.049805,1.169922
7.2,2.066576,-0.293253,0.000000,-0.014599,-0.010471,0.000000,-0.000000,-0.003906,0.037109,1.130859
7.2,2.059710,-0.209308,0.000000,0.001217,0.010201,0.000773,-0.000000,-0.005371,0.041504,1.170898
7.2,2.052041,-0.149562,0.000000,0.013321,-0.006161,0.000000,-0.000000,-0.001465,0.046387,1.153809
7.2,2.046800,-0.299322,0.000000,0.028128,-0.013448,-0.000773,-0.000674,-0.005371,0.049805,1.156250
7.2,2.037929,-0.142086,0.000000,0.009048,-0.024156,0.000000,0.000893,0.002930,0.036621,1.145020
7.2,2.036254,-0.020714,0.000000,-0.005342,0.003742,0.000000,-0.000674,-0.000977,0.026855,1.153320
7.2,2.032870,-0.267574,0.000000,-0.012593,0.281466,0.000000,-0.000000,-0.006836,0.049316,1.135742
10.2,-0.153618,-1.229537,0.000000,-0.005831,0.005620,0.000000,-0.000000,-0.001953,0.006836,1.170410
15.2,-0.168736,-1.309967,0.000000,-0.410490,-0.194136,0.000000,-0.000624,0.000488,0.002441,1.165039
20.1,-0.190455,-1.223838,0.000000,-0.753269,-0.456269,0.000000,0.000624,0.011719,-0.008301,1.130859
25.1,-0.203002,-1.506801,0.000000,-1.090909,-0.689893,0.000000,0.000910,0.008301,-0.014648,1.165527
30.2,-0.218540,-1.160866,0.000000,-1.192671,-1.054121,0.000000,-0.000911,-0.006836,-0.016602,1.130859
35.1,-0.241099,-1.281853,0.000000,-1.026447,-1.271736,0.000000,-0.000912,0.001465,-0.016113,1.118164
40.2,-0.257395,-1.181056,0.000000,-1.012819,-0.801405,-0.000701,0.000616,-0.000977,-0.015137,1.144531
45.1,-0.282492,-1.207200,0.000000,-0.492707,-0.505549,0.000000,-0.000000,0.011230,-0.020020,1.115723
50.1,-0.298682,-1.381792,0.000000,-0.238014,-0.377837,0.000000,-0.000913,0.000000,-0.019043,1.116211
55.2,-0.316207,-1.230370,0.000000,-0.076130,-0.288747,0.000000,-0.000913,-0.003906,-0.015137,1.101074
60.2,-0.349160,-0.939786,0.000000,0.117962,0.011441,0.000000,-0.000000,0.020508,-0.017578,1.125977
65.1,-0.366756,-1.246150,0.000000,0.184012,0.199798,-0.000881,-0.000000,0.008301,-0.007812,1.129883
70.2,-0.395258,-1.079279,0.000000,0.131787,0.198307,0.000000,-0.000300,0.001465,-0.018066,1.147949
75.1,-0.423148,-1.019522,0.000000,0.065692,0.117933,0.000000,-0.000000,0.000977,-0.027344,1.108887
80.2,-0.447184,-0.709835,0.000000,0.019352,0.031090,0.000000,-0.000000,0.013184,-0.021973,1.148438
85.2,-0.467088,-1.188900,0.000000,0.002421,0.005107,0.000000,0.000913,0.007812,-0.016602,1.166016
90.1,-0.497926,-0.911633,0.000000,-0.015284,-0.017565,0.001762,-0.001525,-0.000977,-0.025879,1.122559
95.1,-0.525048,-0.828131,0.000000,0.422349,-0.037696,0.000000,-0.000000,-0.001465,-0.009766,1.187012
100.2,-0.548340,-1.035766,0.000000,0.413132,-0.017466,0.000701,-0.000000,0.007324,-0.015625,1.136230
105.2,-0.570737,-0.769736,0.000000,0.145446,0.029991,-0.000880,0.000613,0.010254,-0.007812,1.159668
110.1,-0.608478,-1.104475,0.000000,-0.000618,0.033797,0.000000,-0.000913,0.001953,-0.023926,1.136719
115.2,-0.641100,-1.218330,0.000000,0.318415,0.006766,0.000000,-0.000000,0.000977,-0.017578,1.140137
120.2,-0.668599,-0.906574,0.000000,0.266544,-0.016721,0.000000,-0.001225,0.005859,-0.022949,1.168945
125.1,-0.705090,-0.729284,0.000000,0.051613,-0.013555,0.000000,0.001525,0.002441,-0.037109,1.116211
130.2,-0.724163,-0.689059,0.000000,0.291481,0.288973,-0.000705,0.000912,0.000977,-0.017578,1.131836
135.1,-0.737734,-1.083658,0.000000,0.334875,0.490182,0.000000,-0.000000,0.000977,-0.029785,1.120117
140.1,-0.747513,-1.021912,0.000000,0.128083,0.263278,-0.000705,-0.000000,0.009766,-0.009277,1.145020
145.2,-0.741559,-1.076239,0.000000,-0.047901,0.071791,0.000705,-0.000000,0.014160,0.000488,1.158203
