t_ms,M1_speed_ref,M1_speed_fb,M1_iq_ref,M1_iq,M1_mech_angle,M2_speed_ref,M2_speed_fb,M2_iq_ref,M2_iq,M2_mech_angle
0.0,10.000000,9.472335,0.020262,0.015738,1.362175,0.000000,-0.014879,0.000000,-0.001611,2.616588
5.0,10.000000,9.883030,0.014114,0.013696,1.357190,0.000000,0.013921,0.000000,0.000820,2.616588
10.0,10.000000,9.981590,0.012531,0.011276,1.351437,0.000000,-0.011682,0.000000,-0.000000,2.616588
15.0,10.000000,9.884112,0.013963,0.013412,1.346835,0.000000,-0.017105,0.000000,0.000820,2.616588
20.0,10.000000,10.382804,0.006403,0.010065,1.340699,0.000000,-0.006185,0.000000,-0.001641,2.616588
25.0,10.000000,10.150015,0.009808,0.010729,1.335714,0.000000,0.011321,0.000000,0.000030,2.616588
30.0,10.000000,10.655100,0.002104,0.003525,1.329961,0.000000,0.002432,0.000000,-0.001611,2.616588
35.0,10.000000,10.251304,0.007867,0.007233,1.324976,0.000000,-0.026771,0.000000,-0.000850,2.616588
40.0,10.000000,9.982873,0.011768,0.011424,1.319224,0.000000,0.026247,0.000000,-0.001611,2.616588
45.0,10.000000,10.779472,-0.000384,0.002368,1.314238,0.000000,0.004410,0.000000,0.000790,2.616588
50.0,10.000000,10.605626,0.001988,0.003220,1.308102,0.000000,-0.018551,0.000000,-0.000030,2.616588
55.0,10.000000,10.979015,-0.003973,-0.004033,1.303117,0.000000,0.017358,0.000000,0.000820,2.616588
60.0,10.000000,10.795769,-0.001451,0.000000,1.296981,0.000000,0.018293,0.000000,-0.000820,2.616588
65.0,10.000000,10.989429,-0.004739,-0.004823,1.291612,0.000000,-0.013234,0.000000,-0.000790,2.616588
70.0,10.000000,11.529036,-0.013713,-0.015478,1.285092,0.000000,0.003167,0.000000,-0.000000,2.616588
75.0,10.000000,9.498078,0.016767,0.016216,1.280874,0.000000,0.025174,0.000000,-0.000000,2.616588
80.0,10.000000,10.773732,-0.002330,-0.000879,1.274738,0.000000,0.000572,0.000000,-0.002431,2.616588
85.0,10.000000,10.214162,0.005909,0.005810,1.269753,0.000000,-0.004848,0.000000,-0.000000,2.616588
90.0,10.000000,10.174617,0.006286,0.008265,1.264000,0.000000,-0.028722,0.000000,-0.000000,2.616588
95.0,10.000000,10.872646,-0.004456,-0.003987,1.259015,0.000000,0.040400,0.000000,-0.000790,2.616588
100.0,10.000000,9.310325,0.019209,0.021321,1.253646,0.000000,-0.015552,0.000000,-0.000820,2.616588
105.0,10.000000,9.867467,0.010889,0.011863,1.248660,0.000000,-0.005738,0.000000,-0.000000,2.616588
110.0,10.000000,9.658979,0.014000,0.008504,1.243291,0.000000,-0.025336,0.000000,-0.001611,2.616588
115.0,10.000000,9.088202,0.022807,0.021462,1.238690,0.000000,-0.001533,0.000000,0.000820,2.616588
120.0,10.000000,9.634301,0.014969,0.016304,1.233321,0.000000,0.006220,0.000000,-0.001581,2.616588
125.0,10.000000,9.293100,0.020227,0.020014,1.228719,0.000000,0.009452,0.000000,-0.000790,2.616588
130.0,10.000000,9.443860,0.018268,0.020951,1.223350,0.000000,-0.005024,0.000000,-0.001611,2.616588
135.0,10.000000,9.276918,0.021095,0.022807,1.219131,0.000000,0.009916,0.000000,-0.000000,2.616588
140.0,10.000000,9.484915,0.018379,0.015900,1.213762,0.000000,0.007344,0.000000,-0.000030,2.616588
145.0,10.000000,9.100774,0.024396,0.025693,1.209544,0.000000,0.037691,0.000000,0.000820,2.616588
150.0,10.000000,9.252827,0.022775,0.026823,1.204175,0.000000,-0.020793,0.000000,-0.000790,2.616588
155.0,10.000000,9.513154,0.019110,0.017970,1.199957,0.000000,-0.013356,0.000000,-0.000000,2.616588
160.0,10.000000,8.333067,0.037456,0.031730,1.194971,0.000000,-0.003724,0.000000,-0.000820,2.616588
165.0,10.000000,8.900212,0.029420,0.029540,1.190753,0.000000,0.029871,0.000000,-0.000790,2.616588
170.0,10.000000,8.868179,0.030489,0.033082,1.185384,0.000000,-0.004425,0.000000,-0.000000,2.616588
175.0,10.000000,9.427842,0.022411,0.023226,1.181165,0.000000,0.012756,0.000000,-0.001611,2.616588
180.0,10.000000,8.273012,0.040543,0.045021,1.176180,0.000000,0.014766,0.000000,-0.000820,2.616588
185.0,10.000000,9.234309,0.026597,0.025192,1.171961,0.000000,-0.005242,0.000000,-0.000790,2.616588
190.0,10.000000,9.260522,0.026549,0.021881,1.166592,0.000000,0.000768,0.000000,-0.000030,2.616588
195.0,10.000000,8.440189,0.039470,0.039619,1.162758,0.000000,0.038878,0.000000,-0.000790,2.616588
200.0,10.000000,9.288605,0.027363,0.026660,1.157389,0.000000,-0.000370,0.000000,-0.001641,2.616588
205.0,10.000000,9.713583,0.021105,0.020952,1.152787,0.000000,-0.004852,0.000000,-0.000790,2.616588
210.0,10.000000,9.614174,0.023168,0.028994,1.147418,0.000000,-0.011735,0.000000,-0.000000,2.616588
215.0,10.000000,9.615641,0.023283,0.022638,1.142816,0.000000,0.005077,0.000000,-0.000000,2.616588
220.0,10.000000,9.611903,0.023476,0.018772,1.137447,0.000000,0.008009,0.000000,-0.000820,2.616588
225.0,10.000000,9.123922,0.031195,0.031092,1.133228,0.000000,0.016520,0.000000,-0.000000,2.616588
230.0,10.000000,9.716370,0.022511,0.023742,1.127476,0.000000,0.003733,0.000000,-0.000820,2.616588
235.0,10.000000,10.007490,0.018210,0.018115,1.122874,0.000000,-0.011421,0.000000,0.001611,2.616588
