t_ms,M1_speed_ref,M1_speed_fb,M1_iq_ref,M1_iq,M1_mech_angle,M2_speed_ref,M2_speed_fb,M2_iq_ref,M2_iq,M2_mech_angle
0.0,0.006330,-0.398062,0.037654,0.037807,5.760098,-0.000114,0.003414,-0.022233,-0.022810,3.141593
5.0,0.027895,-0.051376,0.025418,0.025500,5.760098,-0.000014,0.003875,-0.022226,-0.020466,3.141593
10.0,0.030137,0.013487,0.022826,0.022346,5.760098,-0.000014,0.008807,-0.022456,-0.021880,3.141593
15.0,0.030323,0.032009,0.022073,0.023038,5.760098,-0.000014,-0.009938,-0.021633,-0.021397,3.141593
20.0,0.030295,0.023817,0.022438,0.023038,5.760098,-0.000086,0.007691,-0.022445,-0.022327,3.141593
25.0,0.004982,0.327917,0.005761,0.005809,5.759331,0.000086,-0.003705,-0.021901,-0.021880,3.141593
30.0,-0.029129,0.185895,0.004290,0.005809,5.758947,0.000043,-0.009254,-0.021642,-0.021397,3.141593
35.0,-0.036864,-0.027997,0.011874,0.010731,5.758947,0.000029,0.006609,-0.022342,-0.021397,3.141593
40.0,-0.037544,-0.035299,0.011840,0.011419,5.758947,-0.000072,0.009439,-0.022516,-0.022810,3.141593
45.0,-0.006974,-0.299831,0.030394,0.029537,5.759715,0.000114,-0.006875,-0.021747,-0.020466,3.141593
50.0,0.024426,-0.117675,0.028025,0.027961,5.760098,-0.000014,-0.000701,-0.022049,-0.022810,3.141593
55.0,0.029705,0.003224,0.023221,0.022346,5.760098,0.000000,0.014666,-0.022715,-0.022810,3.141593
60.0,0.030359,0.011755,0.022983,0.023038,5.760098,-0.000014,0.015917,-0.022768,-0.022810,3.141593
65.0,0.030388,0.011287,0.023066,0.023038,5.760098,0.000014,0.005255,-0.022302,-0.021397,3.141593
70.0,0.030459,-0.002839,0.023786,0.023038,5.759715,-0.000029,-0.005240,-0.021862,-0.022810,3.141593
75.0,-0.002160,0.321665,0.004625,0.006695,5.759331,0.000000,0.018345,-0.022883,-0.022810,3.141593
80.0,-0.014112,0.020333,0.015272,0.014078,5.759331,0.000114,-0.009490,-0.021605,-0.021397,3.141593
85.0,-0.014917,-0.007383,0.016242,0.017229,5.759331,0.000014,-0.014273,-0.021405,-0.021880,3.141593
90.0,-0.015088,-0.006004,0.016055,0.015654,5.759331,-0.000086,0.023137,-0.023091,-0.023257,3.141593
95.0,-0.015035,-0.012927,0.016293,0.016540,5.759331,-0.000086,0.003027,-0.022232,-0.021880,3.141593
100.0,-0.015028,-0.009649,0.016063,0.015654,5.759331,0.000014,0.001236,-0.022122,-0.020913,3.141593
105.0,-0.015156,-0.006344,0.015797,0.015654,5.759331,-0.000014,-0.003001,-0.021956,-0.021880,3.141593
110.0,-0.008132,-0.211214,0.026434,0.028155,5.759715,-0.000014,-0.005826,-0.021829,-0.021397,3.141593
115.0,0.017996,-0.209571,0.031367,0.029538,5.760098,0.000100,0.002809,-0.022168,-0.022327,3.141593
120.0,0.029225,-0.007625,0.023635,0.023038,5.760098,0.000014,0.006208,-0.022318,-0.021880,3.141593
125.0,0.030284,0.010026,0.023033,0.022154,5.760098,-0.000014,-0.009841,-0.021618,-0.021397,3.141593
130.0,0.030538,0.017966,0.022839,0.023038,5.760098,-0.000057,-0.012826,-0.021517,-0.022810,3.141593
135.0,-0.000393,0.334683,0.004497,0.006695,5.759331,0.000043,0.005820,-0.022296,-0.022810,3.141593
140.0,-0.013869,0.035649,0.014700,0.015457,5.759331,0.000086,-0.002850,-0.021871,-0.021880,3.141593
145.0,-0.015035,0.013057,0.015355,0.015654,5.759331,-0.000072,0.005927,-0.022301,-0.022810,3.141593
150.0,-0.015028,-0.017395,0.016628,0.017229,5.759331,0.000029,-0.014737,-0.021363,-0.022810,3.141593
155.0,-0.014952,-0.023632,0.016841,0.016540,5.759331,0.000057,-0.000498,-0.021960,-0.021880,3.141593
160.0,-0.015149,-0.012921,0.016232,0.015654,5.759331,0.000057,-0.001464,-0.021901,-0.021880,3.141593
165.0,-0.015099,-0.004859,0.015797,0.015654,5.759331,-0.000072,0.007985,-0.022370,-0.022810,3.141593
170.0,-0.008336,-0.198836,0.025881,0.027270,5.759715,-0.000014,0.010805,-0.022479,-0.021880,3.141593
175.0,0.005840,-0.028096,0.021486,0.020576,5.759715,-0.000086,0.009527,-0.022463,-0.021880,3.141593
180.0,0.007299,0.012423,0.020046,0.021462,5.759715,-0.000086,0.004386,-0.022268,-0.021880,3.141593
185.0,0.007485,0.002808,0.020551,0.021267,5.759715,-0.000057,0.006408,-0.022372,-0.022327,3.141593
190.0,0.007389,0.030553,0.019325,0.019691,5.759715,0.000029,-0.010251,-0.021611,-0.021397,3.141593
195.0,0.007410,0.033271,0.019245,0.020576,5.759715,0.000129,0.000040,-0.022013,-0.023740,3.141593
200.0,0.007507,0.000531,0.020762,0.020576,5.759715,0.000014,-0.022014,-0.021032,-0.020949,3.141593
205.0,0.007467,0.022883,0.019793,0.019691,5.759715,0.000029,0.000822,-0.022011,-0.021397,3.141593
210.0,0.007442,0.014520,0.020123,0.019000,5.759715,0.000114,-0.003778,-0.021752,-0.020466,3.141593
215.0,0.007567,0.005632,0.020529,0.019887,5.759331,-0.000029,0.010065,-0.022397,-0.022810,3.141593
220.0,-0.012456,0.067581,0.013344,0.013192,5.759331,-0.000114,0.011387,-0.022513,-0.021880,3.141593
225.0,-0.014766,-0.003553,0.015913,0.015654,5.759331,0.000014,0.002486,-0.022113,-0.021880,3.141593
230.0,-0.014974,-0.012976,0.016205,0.017229,5.759331,0.000014,0.005312,-0.022227,-0.021397,3.141593
235.0,-0.014985,-0.020179,0.016440,0.017229,5.759331,-0.000057,0.006330,-0.022303,-0.022810,3.141593
240.0,-0.014931,-0.021323,0.016421,0.016540,5.759331,0.000057,-0.007193,-0.021672,-0.021880,3.141593
245.0,-0.014927,-0.033560,0.016887,0.015654,5.759331,0.000029,0.005288,-0.022215,-0.021397,3.141593
250.0,0.001016,-0.171979,0.026611,0.025499,5.759715,-0.000157,0.000649,-0.022103,-0.022810,3.141593
255.0,0.006917,0.001298,0.020254,0.020576,5.759715,0.000072,-0.014132,-0.021387,-0.020913,3.141593
260.0,0.007385,0.028482,0.019183,0.019000,5.759715,0.000043,0.003777,-0.022173,-0.021397,3.141593
265.0,0.007449,0.020207,0.019605,0.019886,5.759715,-0.000029,0.003547,-0.022189,-0.022810,3.141593
270.0,0.007471,0.010267,0.020092,0.019886,5.759715,0.000057,0.004827,-0.022214,-0.021880,3.141593
275.0,0.007575,-0.000527,0.020637,0.020576,5.759715,-0.000043,0.005380,-0.022266,-0.021397,3.141593
280.0,0.007492,0.002995,0.020499,0.019691,5.759715,0.000000,0.002944,-0.022162,-0.021880,3.141593
285.0,0.007492,0.027033,0.019466,0.020576,5.759715,-0.000029,0.010650,-0.022512,-0.022810,3.141593
290.0,0.007585,0.006876,0.020356,0.019690,5.759331,-0.000072,0.016058,-0.022777,-0.022810,3.141593
295.0,-0.012413,0.057935,0.013598,0.013192,5.759331,-0.000057,-0.004160,-0.021902,-0.021880,3.141593
300.0,-0.014623,-0.029584,0.016925,0.017229,5.759331,-0.000014,-0.008248,-0.021723,-0.022810,3.141593
305.0,-0.014924,-0.025697,0.016604,0.016343,5.759331,0.000100,-0.005185,-0.021801,-0.021397,3.141593
310.0,-0.014920,-0.032472,0.016827,0.017426,5.759331,0.000086,-0.010461,-0.021552,-0.021880,3.141593
315.0,-0.014992,-0.006997,0.015593,0.015654,5.759331,-0.000143,0.032760,-0.023541,-0.023740,3.141593
320.0,-0.014938,-0.024044,0.016285,0.015654,5.759331,-0.000029,0.003418,-0.022247,-0.021880,3.141593
325.0,0.003465,-0.104060,0.023982,0.022347,5.759715,0.000157,-0.011006,-0.021547,-0.019536,3.141593
330.0,0.025828,-0.106495,0.027248,0.026384,5.760098,-0.000086,-0.008483,-0.021740,-0.021880,3.141593
335.0,0.030109,-0.005479,0.023346,0.023731,5.760098,-0.000014,-0.005399,-0.021875,-0.022810,3.141593
340.0,0.030434,0.018649,0.022404,0.022346,5.760098,0.000129,-0.003113,-0.021914,-0.021397,3.141593
345.0,0.030602,0.010876,0.022895,0.023038,5.760098,-0.000014,0.005420,-0.022311,-0.021880,3.141593
350.0,0.023639,0.211243,0.013610,0.012998,5.759715,-0.000114,0.002258,-0.022217,-0.021397,3.141593
355.0,-0.003054,0.267877,0.006799,0.008270,5.759331,0.000043,-0.003427,-0.021940,-0.022810,3.141593
360.0,-0.014112,0.021468,0.015202,0.014078,5.759331,0.000043,-0.001137,-0.022020,-0.021880,3.141593
365.0,-0.014942,-0.014899,0.016554,0.015654,5.759331,0.000000,0.003668,-0.022251,-0.022810,3.141593
370.0,-0.014970,-0.012845,0.016375,0.017229,5.759331,0.000014,-0.003846,-0.021906,-0.022810,3.141593
375.0,-0.015042,-0.012724,0.016268,0.016540,5.759331,-0.000029,-0.004555,-0.021889,-0.022810,3.141593
380.0,-0.015103,-0.020685,0.016522,0.015654,5.759331,-0.000043,0.003060,-0.022226,-0.021880,3.141593
385.0,-0.015060,-0.006166,0.015801,0.015654,5.759331,-0.000057,-0.000037,-0.022107,-0.020949,3.141593
390.0,-0.008229,-0.192046,0.025543,0.025694,5.759715,0.000043,0.003854,-0.022265,-0.022327,3.141593
395.0,0.005883,-0.011920,0.020719,0.020771,5.759715,0.000000,-0.013564,-0.021506,-0.021880,3.141593
400.0,0.023253,-0.154333,0.029310,0.028846,5.760098,0.000000,0.001721,-0.022170,-0.021880,3.141593
405.0,0.029812,-0.009459,0.023670,0.023923,5.760098,0.000086,-0.004666,-0.021850,-0.020913,3.141593
410.0,0.030531,-0.001772,0.023530,0.023923,5.760098,-0.000014,-0.004009,-0.021903,-0.023293,3.141593
415.0,0.030570,-0.001448,0.023641,0.023038,5.760098,0.000029,0.005105,-0.022285,-0.021397,3.141593
420.0,-0.000268,0.328133,0.004883,0.005809,5.759331,0.000029,0.005379,-0.022300,-0.021880,3.141593
425.0,-0.029837,0.171938,0.005053,0.005809,5.758947,-0.000043,0.002396,-0.022196,-0.021397,3.141593
430.0,-0.036954,-0.036371,0.012527,0.011618,5.758947,0.000000,-0.001405,-0.022036,-0.021880,3.141593
435.0,-0.037537,-0.040575,0.012375,0.011618,5.758947,-0.000072,0.016915,-0.022879,-0.023257,3.141593
440.0,-0.037605,-0.044435,0.012325,0.013192,5.758947,0.000000,-0.009717,-0.021692,-0.022810,3.141593
445.0,-0.006977,-0.304552,0.030695,0.029731,5.759715,0.000114,0.002984,-0.022185,-0.021397,3.141593
450.0,0.006108,-0.010273,0.020558,0.020577,5.760098,0.000014,0.004069,-0.022261,-0.022327,3.141593
455.0,0.027430,-0.045873,0.025254,0.025500,5.760098,0.000043,0.006610,-0.022351,-0.022810,3.141593
460.0,0.030041,0.014367,0.022874,0.023038,5.760098,0.000086,-0.004217,-0.021836,-0.021880,3.141593
465.0,0.030298,0.002093,0.023477,0.023923,5.760098,0.000000,-0.007840,-0.021686,-0.022810,3.141593
470.0,0.018153,0.220621,0.012876,0.014078,5.759715,-0.000143,0.023390,-0.023114,-0.023257,3.141593
475.0,0.001516,0.247060,0.008712,0.007384,5.759331,-0.000086,0.004888,-0.022320,-0.021880,3.141593
480.0,-0.013554,0.040050,0.014466,0.014767,5.759331,0.000143,-0.023435,-0.020999,-0.020949,3.141593
485.0,-0.014910,-0.010792,0.016343,0.017229,5.759331,-0.000014,0.011165,-0.022542,-0.022810,3.141593
490.0,-0.015060,-0.025337,0.016872,0.017426,5.759331,-0.000057,-0.002921,-0.021933,-0.022810,3.141593
495.0,-0.002921,-0.021933,-0.022810,3.141593,inf,-0.000014,0.004811,-0.022265,-0.021844,3.141593
500.0,-15.700174,-10.085417,-0.258312,-0.139346,5.760098,-0.000057,0.010770,-0.022557,-0.022810,3.141593
505.0,-15.255990,-16.276026,0.029463,0.025189,5.768919,0.000086,0.005908,-0.022291,-0.022363,3.141593
510.0,-14.765200,-15.337931,0.013411,0.013684,5.776588,0.000072,0.001718,-0.022090,-0.021880,3.141593
515.0,-14.324838,-14.616090,-0.001858,-0.000824,5.783875,-0.000029,0.004796,-0.022253,-0.022810,3.141593
520.0,-13.887634,-14.229733,-0.000432,0.000000,5.791161,0.000000,0.007245,-0.022353,-0.022810,3.141593
525.0,-13.464916,-13.891456,0.002285,0.004050,5.798448,-0.000086,0.000965,-0.022096,-0.022810,3.141593
530.0,-13.031032,-13.485894,0.006965,0.007259,5.805734,-0.000057,0.007879,-0.022415,-0.022810,3.141593
535.0,-12.599918,-13.084591,0.013645,0.013025,5.812637,0.000057,-0.013530,-0.021434,-0.021880,3.141593
540.0,-12.195951,-12.447968,0.006058,0.004923,5.819156,-0.000043,0.004080,-0.022233,-0.021880,3.141593
545.0,-11.822699,-11.879069,-0.003247,-0.002458,5.825675,0.000072,-0.017512,-0.021247,-0.020466,3.141593
550.0,-11.446291,-11.748416,0.009775,0.009428,5.831811,-0.000029,-0.009989,-0.021611,-0.021397,3.141593
555.0,-11.093633,-11.202688,0.001020,0.001219,5.837564,-0.000014,0.003427,-0.022217,-0.021880,3.141593
560.0,-10.735880,-11.057498,0.013251,0.013123,5.843700,0.000057,-0.009980,-0.021600,-0.021880,3.141593
565.0,-10.407576,-10.533351,0.003908,0.004624,5.848685,0.000086,0.003188,-0.022146,-0.021880,3.141593
570.0,-10.095620,-10.023763,-0.006665,-0.005568,5.854054,-0.000014,0.001674,-0.022091,-0.022327,3.141593
575.0,-9.773222,-10.060980,0.011255,0.010229,5.859423,-0.000014,0.003825,-0.022197,-0.022810,3.141593
580.0,-9.466665,-9.563722,0.003599,0.002792,5.864408,0.000014,0.017154,-0.022764,-0.022810,3.141593
585.0,-9.180988,-9.158912,-0.002983,-0.003720,5.869394,-0.000114,0.010427,-0.022513,-0.022327,3.141593
590.0,-8.894872,-9.039783,0.004882,0.006500,5.873996,0.000072,-0.004015,-0.021840,-0.021397,3.141593
595.0,-8.611073,-8.666686,0.002554,0.001852,5.878598,0.000029,-0.006240,-0.021738,-0.021397,3.141593
600.0,-8.346791,-8.509107,0.006933,0.007947,5.883200,0.000014,0.011130,-0.022511,-0.022810,3.141593
605.0,-8.081971,-8.138837,0.003492,0.004262,5.887418,-0.000014,-0.007844,-0.021676,-0.021397,3.141593
