t_ms,M1_speed_ref,M1_speed_fb,M1_iq_ref,M1_iq,M1_mech_angle,M2_speed_ref,M2_speed_fb,M2_iq_ref,M2_iq,M2_mech_angle
0.0,0.007778,-0.000126,-0.036936,-0.037163,0.261927,-0.000072,0.006406,-0.022979,-0.022327,3.141593
5.0,-0.008199,0.168729,-0.045691,-0.045120,0.261544,0.000186,-0.017672,-0.021841,-0.022810,3.141593
10.0,-0.014879,0.030499,-0.040461,-0.041118,0.261544,-0.000029,0.008066,-0.023003,-0.023740,3.141593
15.0,-0.015392,0.017299,-0.040071,-0.039508,0.261544,-0.000029,-0.010230,-0.022207,-0.022327,3.141593
20.0,-0.015433,0.001377,-0.039533,-0.039553,0.261544,0.000014,0.003061,-0.022785,-0.022810,3.141593
25.0,-0.015321,-0.012381,-0.039016,-0.039508,0.261544,0.000014,-0.024289,-0.021596,-0.022810,3.141593
30.0,-0.015298,-0.009696,-0.039223,-0.038725,0.261544,0.000000,0.018215,-0.023476,-0.022327,3.141593
35.0,-0.015314,0.004766,-0.039965,-0.039553,0.261544,-0.000114,0.008730,-0.023126,-0.023740,3.141593
40.0,0.003435,-0.134576,-0.032174,-0.033115,0.261927,-0.000029,-0.001243,-0.022689,-0.021880,3.141593
45.0,0.007482,-0.023859,-0.036524,-0.036287,0.261927,0.000057,-0.000138,-0.022718,-0.022810,3.141593
50.0,0.007916,-0.024349,-0.036324,-0.037163,0.261927,0.000029,-0.010426,-0.022253,-0.022810,3.141593
55.0,0.007887,-0.013083,-0.036694,-0.037116,0.261927,0.000057,0.005705,-0.022929,-0.022327,3.141593
60.0,0.007807,0.002269,-0.037287,-0.037116,0.261927,-0.000086,0.005663,-0.022991,-0.021880,3.141593
65.0,0.007782,0.001944,-0.037207,-0.037116,0.261927,0.000072,-0.001140,-0.022662,-0.022810,3.141593
70.0,0.007800,-0.009733,-0.036612,-0.036378,0.261544,-0.000057,-0.011051,-0.022244,-0.023740,3.141593
75.0,-0.012676,0.091269,-0.042973,-0.042773,0.261544,0.000000,0.003537,-0.022861,-0.023257,3.141593
80.0,-0.015235,0.019463,-0.040231,-0.040335,0.261544,-0.000014,-0.006286,-0.022425,-0.022810,3.141593
85.0,-0.015467,0.019963,-0.040438,-0.040335,0.261544,-0.000014,0.000223,-0.022705,-0.021880,3.141593
90.0,-0.015424,0.002598,-0.039811,-0.039508,0.261544,0.000086,-0.010596,-0.022199,-0.022327,3.141593
95.0,-0.015324,-0.003200,-0.039656,-0.039508,0.261544,0.000057,0.006832,-0.022949,-0.022327,3.141593
100.0,-0.015264,-0.004927,-0.039660,-0.039553,0.261544,-0.000014,-0.003009,-0.022543,-0.023740,3.141593
105.0,-0.003036,-0.194546,-0.030364,-0.029849,0.261927,0.000057,0.000799,-0.022658,-0.022810,3.141593
110.0,0.006891,-0.039467,-0.036113,-0.035458,0.261927,-0.000057,-0.013515,-0.022050,-0.021880,3.141593
115.0,0.007884,-0.029855,-0.036298,-0.036287,0.261927,-0.000014,0.015076,-0.023309,-0.023740,3.141593
120.0,0.007911,-0.012345,-0.036945,-0.037116,0.261927,0.000014,-0.002505,-0.022526,-0.022810,3.141593
125.0,0.007902,-0.001907,-0.037287,-0.037163,0.261927,-0.000086,-0.005029,-0.022442,-0.022810,3.141593
130.0,0.007761,0.008173,-0.037686,-0.037944,0.261927,-0.000072,0.004210,-0.022862,-0.022810,3.141593
135.0,0.007859,-0.022489,-0.036234,-0.036287,0.261927,0.000057,0.007852,-0.022989,-0.022327,3.141593
140.0,-0.010958,0.143876,-0.045256,-0.045300,0.261544,0.000014,-0.024181,-0.021582,-0.022810,3.141593
145.0,-0.015058,0.019034,-0.040319,-0.041163,0.261544,-0.000043,-0.014351,-0.022048,-0.020949,3.141593
150.0,-0.015346,0.012808,-0.040191,-0.040380,0.261544,-0.000014,0.000229,-0.022707,-0.022774,3.141593
155.0,-0.015460,0.011725,-0.040306,-0.040335,0.261544,0.000029,-0.003340,-0.022536,-0.022327,3.141593
160.0,-0.015351,0.007997,-0.040241,-0.040335,0.261544,-0.000014,-0.001534,-0.022632,-0.022327,3.141593
165.0,-0.015290,-0.007633,-0.039634,-0.040335,0.261544,-0.000086,-0.007527,-0.022387,-0.020466,3.141593
170.0,-0.015269,-0.006225,-0.039776,-0.039506,0.261927,0.000000,0.011711,-0.023242,-0.023704,3.141593
175.0,0.005080,-0.095224,-0.034019,-0.033896,0.261927,-0.000072,0.002144,-0.022847,-0.021844,3.141593
180.0,0.007725,-0.023867,-0.036753,-0.036287,0.261927,0.000000,-0.002228,-0.022656,-0.022327,3.141593
185.0,0.007871,-0.010266,-0.037228,-0.036287,0.261927,0.000129,0.006962,-0.023009,-0.024187,3.141593
190.0,0.007830,-0.006456,-0.037314,-0.037068,0.261927,-0.000057,0.032261,-0.024167,-0.023257,3.141593
195.0,0.007914,-0.008210,-0.037105,-0.037116,0.261927,-0.000057,-0.003120,-0.022633,-0.022327,3.141593
200.0,0.007766,0.002354,-0.037521,-0.037944,0.261927,-0.000014,-0.004105,-0.022573,-0.022810,3.141593
205.0,0.007761,0.000860,-0.037384,-0.037068,0.261927,0.000100,-0.015856,-0.021996,-0.022810,3.141593
210.0,0.007752,-0.016166,-0.036577,-0.037163,0.261927,0.000114,-0.001582,-0.022585,-0.021397,3.141593
215.0,0.007741,-0.003141,-0.037083,-0.036287,0.261927,0.000029,-0.026410,-0.021501,-0.022810,3.141593
220.0,0.007596,0.003701,-0.037399,-0.037116,0.261927,-0.000057,0.009288,-0.023092,-0.022327,3.141593
225.0,0.007721,-0.004522,-0.036976,-0.037116,0.261927,0.000114,-0.007653,-0.022292,-0.021397,3.141593
230.0,0.007705,0.003513,-0.037285,-0.036287,0.261927,-0.000157,0.001507,-0.022781,-0.022327,3.141593
235.0,0.007723,-0.004032,-0.036914,-0.036287,0.261927,0.000086,-0.010308,-0.022200,-0.022810,3.141593
240.0,0.007680,0.013067,-0.037645,-0.037944,0.261927,-0.000029,0.010823,-0.023144,-0.023740,3.141593
245.0,0.007668,0.003159,-0.037176,-0.037116,0.261927,-0.000043,-0.002691,-0.022559,-0.022810,3.141593
250.0,0.007753,-0.005899,-0.036710,-0.036287,0.261927,0.000143,-0.017568,-0.021829,-0.022810,3.141593
255.0,0.007719,-0.001796,-0.036855,-0.037116,0.261927,0.000100,-0.001932,-0.022478,-0.022327,3.141593
260.0,0.007609,0.011383,-0.037436,-0.037116,0.261927,-0.000029,0.008144,-0.022955,-0.022810,3.141593
265.0,0.007659,-0.005806,-0.036653,-0.036335,0.261927,0.000014,-0.022404,-0.021598,-0.020949,3.141593
270.0,0.007609,0.001787,-0.036982,-0.037944,0.261927,-0.000100,-0.003380,-0.022482,-0.023740,3.141593
275.0,0.007710,-0.000798,-0.036802,-0.036287,0.261927,-0.000086,0.002229,-0.022731,-0.023740,3.141593
280.0,0.007569,0.004077,-0.037040,-0.037944,0.261927,0.000143,-0.017007,-0.021793,-0.021397,3.141593
285.0,0.007655,0.007433,-0.037146,-0.037163,0.261927,-0.000272,0.007879,-0.023031,-0.023740,3.141593
290.0,0.007685,-0.002127,-0.036685,-0.036287,0.261927,-0.000086,-0.002090,-0.022586,-0.021397,3.141593
295.0,0.007550,0.008034,-0.037168,-0.037116,0.261927,0.000157,-0.021009,-0.021686,-0.021880,3.141593
300.0,0.007716,-0.008464,-0.036374,-0.037163,0.261927,0.000000,0.000741,-0.022658,-0.022810,3.141593
305.0,0.007625,0.003385,-0.036878,-0.037068,0.261927,-0.000114,0.018878,-0.023501,-0.023740,3.141593
310.0,0.007668,0.012731,-0.037253,-0.037163,0.261927,0.000000,0.006871,-0.022949,-0.023740,3.141593
315.0,0.007578,0.005203,-0.036934,-0.036287,0.261927,-0.000057,0.001558,-0.022743,-0.022810,3.141593
320.0,0.007575,0.005258,-0.036939,-0.037116,0.261927,-0.000029,0.010368,-0.023135,-0.022810,3.141593
325.0,0.007710,0.006574,-0.036933,-0.036287,0.261927,-0.000086,0.009623,-0.023132,-0.023257,3.141593
330.0,0.007689,-0.004527,-0.036413,-0.037163,0.261927,0.000029,-0.012715,-0.022119,-0.022810,3.141593
335.0,0.007634,0.008937,-0.036983,-0.037116,0.261927,-0.000014,-0.006775,-0.022363,-0.022810,3.141593
340.0,0.007673,-0.007452,-0.036226,-0.036335,0.261927,-0.000057,-0.003191,-0.022532,-0.022810,3.141593
345.0,0.007598,0.013222,-0.037143,-0.037116,0.261927,0.000057,0.015745,-0.023337,-0.022327,3.141593
350.0,0.007671,0.006572,-0.036810,-0.036335,0.261927,-0.000014,-0.005877,-0.022416,-0.021397,3.141593
355.0,0.007689,0.009633,-0.036918,-0.037116,0.261927,0.000000,0.010062,-0.023129,-0.023257,3.141593
360.0,0.007673,0.004538,-0.036658,-0.037116,0.261927,-0.000057,0.009245,-0.023122,-0.023257,3.141593
365.0,0.007601,0.006878,-0.036756,-0.037116,0.261927,-0.000057,0.000902,-0.022764,-0.022810,3.141593
370.0,0.007666,-0.006204,-0.036139,-0.036287,0.261927,0.000043,-0.005999,-0.022434,-0.022327,3.141593
375.0,0.007592,0.007413,-0.036740,-0.036335,0.261927,0.000057,0.004161,-0.022872,-0.023257,3.141593
380.0,0.007696,0.001120,-0.036416,-0.036287,0.261927,-0.000014,0.006077,-0.022966,-0.023257,3.141593
385.0,0.007591,0.009513,-0.036801,-0.036335,0.261927,-0.000014,-0.001413,-0.022648,-0.021880,3.141593
390.0,0.007639,-0.000414,-0.036334,-0.037116,0.261927,0.000014,-0.008561,-0.022330,-0.022810,3.141593
395.0,0.007702,-0.007202,-0.035974,-0.035506,0.261927,-0.000043,0.024920,-0.023816,-0.024671,3.141593
400.0,0.007644,0.010083,-0.036726,-0.036335,0.261927,-0.000086,0.031509,-0.024139,-0.024187,3.141593
405.0,0.007693,0.010465,-0.036706,-0.036287,0.261927,0.000072,0.000620,-0.022741,-0.022810,3.141593
410.0,0.007634,0.009737,-0.036677,-0.036335,0.261927,0.000072,-0.004724,-0.022498,-0.022810,3.141593
415.0,0.007676,0.003827,-0.036391,-0.036335,0.261927,0.000057,0.000374,-0.022712,-0.022327,3.141593
420.0,0.007562,0.023448,-0.037280,-0.037944,0.261927,0.000014,-0.003329,-0.022558,-0.022810,3.141593
425.0,0.007668,0.001122,-0.036246,-0.036335,0.261927,0.000000,0.016032,-0.023409,-0.023704,3.141593
430.0,0.007646,0.005240,-0.036407,-0.036239,0.261927,-0.000029,-0.002609,-0.022595,-0.021880,3.141593
435.0,0.007646,0.007665,-0.036494,-0.036287,0.261927,-0.000057,0.003784,-0.022903,-0.021844,3.141593
440.0,0.007710,-0.004447,-0.035912,-0.036335,0.261927,0.000072,-0.002008,-0.022613,-0.023740,3.141593
445.0,0.007609,0.007521,-0.036446,-0.035506,0.261927,0.000086,-0.014564,-0.022010,-0.022810,3.141593
450.0,0.007655,0.000995,-0.036129,-0.036287,0.261927,0.000000,-0.014076,-0.022030,-0.022810,3.141593
455.0,0.007580,0.006618,-0.036395,-0.036335,0.261927,-0.000057,0.001226,-0.022714,-0.021880,3.141593
460.0,-0.011013,0.139205,-0.043922,-0.044382,0.261544,0.000014,0.003529,-0.022817,-0.022327,3.141593
465.0,-0.015083,0.011311,-0.038860,-0.038725,0.261544,-0.000043,0.006925,-0.022987,-0.022327,3.141593
