t_ms,tilt_angle,gyro_rate,balance_out,spd_fb_L,spd_fb_R,iq_L,iq_R,accel_X,accel_Y,accel_Z
2.9,2.252895,-4.245282,0.000000,-10.166286,2.728934,0.000000,0.000000,-0.002930,0.026367,1.086914
2.9,2.211413,-3.710268,0.000000,-8.887808,5.763753,0.000000,-0.000710,0.007812,0.026855,1.117188
2.9,2.139145,-3.014880,0.000000,-8.217334,8.182868,-0.000927,0.000000,0.016113,0.008789,1.120605
2.9,2.049161,-2.804558,0.000000,-7.541934,9.508292,0.000000,0.000000,0.015625,-0.000977,1.094238
2.9,1.948295,-2.467793,0.000000,-6.588050,10.398037,0.000000,0.000493,0.017578,-0.009766,1.095215
2.9,1.836707,-1.631217,0.000000,-4.620291,11.061522,0.000000,0.000000,0.018555,-0.008301,1.114258
2.9,1.720074,-1.513502,0.000000,-1.960503,11.309248,0.000000,0.000000,0.024902,-0.026367,1.145020
2.9,1.618606,-1.368363,0.000000,0.214371,11.095677,-0.000930,-0.000346,0.022461,-0.010742,1.164551
7.5,1.517001,-1.405771,0.000000,1.473312,10.976975,0.000000,0.000000,0.025391,-0.016113,1.160645
7.5,1.418587,-1.765729,0.000000,2.524127,11.338437,0.000930,0.000000,0.033691,-0.018555,1.143066
7.5,1.323135,-1.823495,0.000000,4.647418,11.610229,0.000000,0.000000,0.017090,-0.014160,1.138184
7.5,1.234705,-2.106868,0.000000,6.122845,11.889160,0.000000,-0.000486,0.002930,-0.026367,1.116211
7.5,1.177016,-2.276882,0.000000,6.977654,12.453747,0.000000,0.000406,0.007812,0.002930,1.131348
7.5,1.155015,-2.723368,0.000000,6.900182,13.253179,0.000000,-0.001121,0.016602,0.022461,1.145020
7.5,1.163489,-3.238917,0.000000,6.426123,14.116853,0.000000,-0.000596,0.021484,0.039062,1.142090
7.5,1.179774,-3.985623,0.000000,5.779280,14.446659,0.000000,-0.000632,0.015137,0.055176,1.206055
7.5,1.153856,-4.533914,0.000000,4.702826,13.843575,0.000583,0.000000,0.005371,0.023926,1.197754
7.5,1.134087,-4.749759,0.000000,3.887336,12.632930,0.000000,-0.000690,0.023926,0.015137,1.164551
7.5,1.100527,-5.734603,0.000000,2.993936,10.401117,0.000000,0.000711,0.013184,0.012207,1.151855
7.5,1.026941,-5.864491,0.000000,1.841870,7.439028,0.000606,0.000000,-0.001465,-0.010254,1.177246
7.5,0.961547,-6.043167,0.000000,1.142630,4.533793,0.000000,0.000000,0.005859,0.006836,1.155762
7.5,0.929453,-6.654893,0.000000,0.499466,1.758518,0.000000,0.000000,-0.008301,0.022949,1.189453
7.5,0.890997,-6.677583,0.000000,-0.387335,-0.806121,0.000913,0.000000,-0.006836,0.014648,1.166016
7.5,0.844500,-6.687072,0.000000,-1.290426,-2.428701,0.001521,-0.000125,-0.004395,0.003906,1.139160
7.5,0.812276,-6.753710,0.000000,-4.293221,-4.809525,0.000000,0.000000,-0.012695,0.040039,1.133789
7.5,0.768619,-6.728668,0.000000,-7.945679,-7.085452,0.000922,-0.000551,-0.042480,0.023926,1.148438
7.5,0.789008,-6.531755,0.000000,-11.320695,-7.561308,0.000000,0.000000,0.000488,0.070312,1.151855
7.5,0.742997,-6.229640,0.000000,-13.936056,-7.078695,0.000000,0.000000,-0.019043,-0.028809,1.108887
7.5,0.692563,-5.966765,0.000000,-16.412352,-5.716109,0.000000,-0.000211,-0.038574,-0.011719,1.131348
7.5,0.649247,-5.543315,0.000000,-18.211111,-3.933731,0.000928,-0.000671,-0.005859,-0.020020,1.155273
7.5,0.581351,-5.431907,0.000000,-19.610117,-2.270981,-0.000574,0.000000,0.007324,0.016113,1.160645
7.5,0.577978,-5.415235,0.000000,-20.352613,-0.059705,0.000000,0.000000,0.009277,0.037598,1.176758
10.4,-0.737523,-0.129834,0.000000,-0.050980,-0.236076,-0.000000,0.000000,0.000488,0.000000,1.159180
15.4,-0.722553,-0.047201,0.000000,-0.016625,-0.145325,-0.000000,-0.000884,0.017090,-0.005371,1.136719
20.4,-0.714118,-0.217382,0.000000,0.009607,-0.038534,0.000960,0.000884,0.004883,-0.009277,1.122070
25.4,-0.699109,-0.241647,0.000000,0.017091,0.039364,-0.000000,0.000192,-0.005371,-0.013672,1.121582
30.4,-0.689020,0.024329,0.000000,0.036021,0.038096,0.000747,0.000884,0.003906,-0.005859,1.159668
35.4,-0.677435,-0.172193,0.000000,0.020124,0.428507,-0.000854,-0.000884,-0.002441,0.001465,1.147949
