t_ms,M1_pos_ref,M1_pos_est,M1_speed_fb,M1_iq,M1_speed_ref,M2_pos_ref,M2_pos_est,M2_speed_fb,M2_iq,M2_speed_ref
280.0,inf,1.745329,1.746608,-0.197140,-0.013690,-0.268514,0.000000,5.263851,-0.020527,-0.000000
285.0,0.000000,inf,1.745329,1.746317,-0.498144,-0.002414,-0.207431,0.000000,5.263849,-0.022454
290.0,0.000917,0.000000,inf,1.745329,1.745240,-0.786959,0.034767,0.018675,0.000000,5.263856
295.0,0.002096,-0.000917,0.000000,inf,1.745329,1.744113,-0.140105,0.037185,0.255421,0.000000
300.0,5.263861,0.020481,-0.000000,0.000000,inf,1.745329,1.743945,0.295098,0.020723,0.290619
305.0,0.000000,5.263856,0.001403,-0.000000,0.000000,inf,1.745329,1.744770,0.738356,-0.000922
310.0,0.117484,0.000000,5.263855,-0.002142,0.000320,0.000000,inf,1.745329,1.746046,0.855846
315.0,-0.039379,-0.150454,0.000000,5.263859,0.013630,-0.000917,0.000000,inf,1.745329,1.746586
320.0,-0.257219,-0.015536,-0.263958,0.000000,5.263851,-0.016000,-0.000000,0.000000,inf,1.745329
325.0,1.746671,-0.349649,-0.010714,-0.281782,0.000000,5.263854,-0.006410,-0.000000,0.000000,inf
330.0,1.745329,1.745211,-0.833726,0.032350,0.024884,0.000000,5.263852,-0.011717,0.000917,0.000000
335.0,inf,1.745329,1.744404,-0.404479,0.035000,0.194364,0.000000,5.263852,-0.013414,-0.000597
340.0,0.000000,inf,1.745329,1.744299,0.359812,0.011282,0.216268,0.000000,5.263854,-0.001156
345.0,-0.000000,0.000000,inf,1.745329,1.744330,0.263259,0.014619,0.209910,0.000000,5.263859
350.0,0.017283,-0.000000,0.000000,inf,1.745329,1.745708,0.775823,-0.025330,-0.079633,0.000000
355.0,5.263863,0.028600,-0.000000,0.000000,inf,1.745329,1.746544,0.383271,-0.032918,-0.255096
360.0,0.000000,5.263862,0.022524,-0.000000,0.000000,inf,1.745329,1.746638,-0.431407,-0.007025
365.0,-0.274748,0.000000,5.263859,0.012966,-0.000000,0.000000,inf,1.745329,1.745806,-0.717996
370.0,0.021642,-0.100161,0.000000,5.263855,-0.004708,-0.000000,0.000000,inf,1.745329,1.744566
375.0,-0.332658,0.034423,0.160217,0.000000,5.263851,-0.012862,0.000917,0.000000,inf,1.745329
380.0,1.744327,0.166951,0.017040,0.210435,0.000000,5.263857,0.005783,-0.000000,0.000000,inf
385.0,1.745329,1.744223,0.227771,0.017383,0.232315,0.000000,5.263857,0.007433,-0.000000,0.000000
390.0,inf,1.745329,1.744843,0.521201,-0.006454,0.102063,0.000000,5.263856,-0.000154,-0.000000
395.0,0.000000,inf,1.745329,1.746429,0.544156,-0.038456,-0.231038,0.000000,5.263854,-0.004113
400.0,-0.000000,0.000000,inf,1.745329,1.746623,-0.203446,-0.013690,-0.271668,0.000000,5.263854
405.0,-0.007525,0.000597,0.000000,inf,1.745329,1.746314,-0.509259,-0.001844,-0.206705,0.000000
410.0,5.263850,-0.018948,0.000917,0.000000,inf,1.745329,1.745136,-0.806136,0.037528,0.040530
415.0,0.000000,5.263852,-0.015366,-0.000000,0.000000,inf,1.745329,1.744318,0.010827,0.029586
420.0,0.212363,0.000000,5.263854,-0.003879,-0.000000,0.000000,inf,1.745329,1.744302,0.382422
425.0,0.010361,0.215642,0.000000,5.263857,0.006587,-0.000000,0.000000,inf,1.745329,1.744674
430.0,0.423583,0.007945,0.137562,0.000000,5.263858,0.011594,-0.000000,0.000000,inf,1.745329
435.0,1.745620,0.655015,-0.025330,-0.061083,0.000000,5.263861,0.019583,-0.000000,0.000000,inf
440.0,1.745329,1.746271,-0.049368,-0.017383,-0.197718,0.000000,5.263859,0.013765,-0.000917,0.000000
445.0,inf,1.745329,1.746298,-0.322178,-0.004614,-0.203526,0.000000,5.263853,-0.011430,0.000597
450.0,0.000000,inf,1.745329,1.746063,-0.328459,-0.007946,-0.154084,0.000000,5.263852,-0.012310
455.0,-0.000000,0.000000,inf,1.745329,1.745192,-0.662750,0.030162,0.028789,0.000000,5.263854
460.0,-0.006834,-0.000597,0.000000,inf,1.745329,1.744306,-0.042494,0.032004,0.214791,0.000000
465.0,5.263856,-0.000398,-0.000917,0.000000,inf,1.745329,1.744293,0.355908,0.011282,0.217545
470.0,0.000000,5.263858,0.007618,-0.000000,0.000000,inf,1.745329,1.744585,0.377511,0.012551
475.0,0.156287,0.000000,5.263855,-0.000768,-0.000000,0.000000,inf,1.745329,1.745609,0.696331
480.0,-0.027175,-0.058830,0.000000,5.263856,0.001085,-0.000000,0.000000,inf,1.745329,1.746271
485.0,-0.040265,-0.018305,-0.197718,0.000000,5.263855,-0.001136,-0.000000,0.000000,inf,1.745329
490.0,1.746294,-0.331006,-0.003691,-0.202675,0.000000,5.263859,0.014211,-0.000000,0.000000,inf
495.0,1.745329,1.745902,-0.416443,0.002194,-0.120288,0.000000,5.263858,0.009408,0.000597,0.000000
500.0,inf,1.745329,1.744864,-0.696786,0.039026,0.097682,0.000000,5.263859,0.011123,-0.000000
505.0,0.000000,inf,1.745329,1.744306,0.174285,0.023141,0.214942,0.000000,5.263856,0.002444
510.0,-0.000000,0.000000,inf,1.745329,1.744279,0.354820,0.012203,0.220599,0.000000,5.263855
515.0,-0.001745,-0.000000,0.000000,inf,1.745329,1.744991,0.567936,-0.002766,0.071071,0.000000
520.0,5.263853,-0.011765,-0.000000,0.000000,inf,1.745329,1.745973,0.625647,-0.030509,-0.135108
525.0,0.000000,5.263851,-0.017988,0.000597,0.000000,inf,1.745329,1.746270,-0.279308,-0.007947
530.0,-0.197593,0.000000,5.263852,-0.014482,-0.000000,0.000000,inf,1.745329,1.746326,-0.278951
535.0,-0.006102,-0.209409,0.000000,5.263852,-0.013054,-0.000597,0.000000,inf,1.745329,1.745585
540.0,-0.567289,0.011282,-0.053673,0.000000,5.263856,0.004232,-0.000000,0.000000,inf,1.745329
545.0,1.744599,-0.631731,0.041102,0.153358,0.000000,5.263858,0.007159,-0.000000,0.000000,inf
550.0,1.745329,1.744308,0.299886,0.018304,0.214366,0.000000,5.263855,-0.002458,-0.000000,0.000000
555.0,inf,1.745329,1.744254,0.304998,0.013700,0.225706,0.000000,5.263854,-0.006379,-0.000597
560.0,0.000000,inf,1.745329,1.745419,0.634247,-0.018305,-0.018800,0.000000,5.263858,0.008903
565.0,-0.000000,0.000000,inf,1.745329,1.746124,0.358457,-0.025330,-0.166976,0.000000,5.263859
570.0,0.013849,0.000597,0.000000,inf,1.745329,1.746297,-0.284209,-0.006102,-0.203151,0.000000
575.0,5.263859,0.016628,0.000597,0.000000,inf,1.745329,1.746240,-0.276142,-0.004258,-0.191209
580.0,0.000000,5.263855,-0.001781,-0.000000,0.000000,inf,1.745329,1.744968,-0.678825,0.030162
585.0,0.075803,0.000000,5.263852,-0.011945,-0.000000,0.000000,inf,1.745329,1.744368,-0.258738
590.0,0.032004,0.201824,0.000000,5.263856,0.005461,-0.000000,0.000000,inf,1.745329,1.744281
595.0,0.337542,0.013123,0.220224,0.000000,5.263859,0.012405,-0.000000,0.000000,inf,1.745329
600.0,1.744417,0.314047,0.011282,0.191660,0.000000,5.263858,0.004770,-0.000000,0.000000,inf
605.0,1.745329,1.745730,0.621655,-0.022563,-0.084164,0.000000,5.263849,-0.024160,-0.000000,0.000000
610.0,inf,1.745329,1.746259,0.170973,-0.020151,-0.195240,0.000000,5.263852,-0.011769,-0.000000
615.0,0.000000,inf,1.745329,1.746307,-0.320362,-0.002768,-0.205253,0.000000,5.263856,-0.000916
620.0,-0.000917,0.000000,inf,1.745329,1.746264,-0.221021,-0.007947,-0.196366,0.000000,5.263854
625.0,-0.011789,0.000917,0.000000,inf,1.745329,1.744963,-0.698678,0.031083,0.076879,0.000000
630.0,5.263849,-0.020097,-0.000000,0.000000,inf,1.745329,1.744322,-0.266271,0.033502,0.211612
635.0,0.000000,5.263855,-0.001544,-0.000000,0.000000,inf,1.745329,1.744287,0.370974,0.011282
640.0,0.218872,0.000000,5.263859,0.010345,-0.000917,0.000000,inf,1.745329,1.744316,0.236978
645.0,0.015541,0.212739,0.000000,5.263859,0.015161,-0.000917,0.000000,inf,1.745329,1.745855
650.0,0.746771,-0.026253,-0.110500,0.000000,5.263859,0.015106,-0.000000,0.000000,inf,1.745329
655.0,1.746558,0.286933,-0.030508,-0.258100,0.000000,5.263860,0.017326,0.000597,0.000000,inf
660.0,1.745329,1.746647,-0.419176,-0.007025,-0.276625,0.000000,5.263861,0.016597,-0.000597,0.000000
665.0,inf,1.745329,1.745812,-0.707580,0.021642,-0.101362,0.000000,5.263851,-0.016876,-0.000000
670.0,0.000000,inf,1.745329,1.744403,-0.435335,0.042366,0.194614,0.000000,5.263854,-0.005241
675.0,0.000917,0.000000,inf,1.745329,1.744317,0.266063,0.013701,0.212588,0.000000,5.263862
