t_ms,M1_speed_ref,M1_speed_fb,M1_iq_ref,M1_iq,M1_mech_angle,M2_speed_ref,M2_speed_fb,M2_iq_ref,M2_iq,M2_mech_angle
0.0,-0.015162,0.003550,-0.041008,-0.041118,0.261544,-0.000014,-0.012734,-0.022399,-0.021397,3.141593
5.0,0.000923,-0.181603,-0.031452,-0.031458,0.261927,-0.000057,-0.009923,-0.022573,-0.022810,3.141593
10.0,0.007351,-0.033234,-0.037195,-0.037116,0.261927,-0.000029,-0.005477,-0.022767,-0.021880,3.141593
15.0,0.007920,-0.022795,-0.037449,-0.037116,0.261927,0.000086,-0.000315,-0.022970,-0.022327,3.141593
20.0,0.007973,-0.009389,-0.037893,-0.037944,0.261927,-0.000057,0.006628,-0.023316,-0.022810,3.141593
25.0,0.007930,-0.004876,-0.037971,-0.037944,0.261927,-0.000014,0.017762,-0.023812,-0.024671,3.141593
30.0,0.001003,0.193717,-0.047172,-0.047647,0.261544,0.000114,-0.015734,-0.022270,-0.022810,3.141593
35.0,-0.013738,0.059569,-0.042775,-0.042773,0.261544,-0.000029,0.002051,-0.023076,-0.023740,3.141593
40.0,-0.015260,0.016610,-0.041171,-0.041163,0.261544,-0.000043,0.017368,-0.023759,-0.023257,3.141593
45.0,-0.015371,0.011773,-0.041096,-0.041163,0.261544,-0.000072,0.005561,-0.023270,-0.023740,3.141593
50.0,-0.015333,0.007370,-0.041004,-0.040335,0.261927,-0.000086,-0.007313,-0.022729,-0.023740,3.141593
55.0,0.005089,-0.087559,-0.034977,-0.034725,0.261927,0.000029,-0.007137,-0.022695,-0.023740,3.141593
60.0,0.007617,-0.012605,-0.037921,-0.037944,0.261927,0.000157,-0.007298,-0.022608,-0.021397,3.141593
65.0,0.007880,-0.006418,-0.038044,-0.037944,0.261927,0.000072,-0.010992,-0.022452,-0.022810,3.141593
70.0,0.007873,-0.005787,-0.037971,-0.037897,0.261927,0.000029,0.016720,-0.023673,-0.022774,3.141593
75.0,0.007778,0.007942,-0.038519,-0.038725,0.261927,-0.000114,0.009069,-0.023395,-0.024671,3.141593
80.0,0.007723,0.007758,-0.038455,-0.038725,0.261927,-0.000014,-0.013262,-0.022390,-0.022327,3.141593
85.0,0.007768,-0.004720,-0.037828,-0.037944,0.261927,0.000014,0.004276,-0.023144,-0.023740,3.141593
90.0,0.007773,-0.002256,-0.037866,-0.037944,0.261927,-0.000057,0.015188,-0.023634,-0.022327,3.141593
95.0,0.007714,0.011877,-0.038450,-0.038725,0.261927,-0.000014,0.004183,-0.023164,-0.021844,3.141593
100.0,0.007705,-0.000403,-0.037862,-0.037944,0.261927,0.000014,-0.013371,-0.022394,-0.021397,3.141593
