3573,0,0,0.001,0
3585,0,0,0.001,0
3597,0,0,0,0
3609,0,0,0.001,0
3620,-0.001,0,0,0
3632,0.001,0,0.001,0
3644,0,0,0,0
3655,0,0,0.001,0
3667,0,0,0,0
3679,0.001,0,0.001,0
3691,0,0,-0.001,0
3703,-0.001,0,0.001,0
3715,0,0,0,0
3727,0,0,0,0
3739,0,0,0.002,0
3750,0.001,0,0.001,0
3762,0.001,0,0.001,0
3774,0,0,-0.001,0
3786,0,0,0,0
3798,0.001,0,0,0
3810,-0.001,0,0.001,0
3822,0.001,0,0,0
3834,-0.001,0,0,0
3846,0,0,0,0
3858,0,0,0.001,0
3870,-0.001,0,0,0
3882,0,0,0.001,0
3894,-0.001,0,0,0
3906,0,0,0,0
3917,-0.001,0,0,0
3929,0,0,0.002,0
3941,0,0,0,0
3953,0,0,0,0
3965,0,0,0.002,0
3977,-0.001,0,0,0
3989,0,0,0,0
4001,0,0,-0.003,0
4013,-0.001,0,0,0
4025,0,0,-0.001,0
4037,0,0,0,0
4048,-0.001,0,0,0
4060,-0.001,0,0.001,0
4072,0,0,0.002,0
4083,0,0,0,0
4095,0,0,0,0
4107,0,0,0.001,0
4119,0.001,0,-0.001,0
4131,0.001,0,0.001,0
4143,0,0,0.001,0
4155,0.001,0,0.001,0
4167,0,0,-0.001,0
4179,0,0,0,0
4190,0,0,0.001,0
4202,0,0,0.002,0
4214,0,0,0,0
4226,0.001,0,0,0
4238,0,0,-0.001,0
4250,0,0,-0.001,0
4262,0.001,0,0.002,0
4274,0,0,-0.001,0
4286,-0.001,0,0,0
4298,0,0,0,0
4310,-0.001,0,0,0
4322,0,0,-0.001,0
4334,0,0,0.001,0
4346,0,0,0,0
4357,-0.001,0,0,0
4369,0.001,0,0.001,0
4381,0.001,0,-0.001,0
4393,0,0,0,0
4405,0,0,0,0
4416,0.001,0,0,0
4428,-0.001,0,-0.001,0
4440,0.001,0,-0.001,0
4452,0,0,0,0
4464,-0.001,0,0.001,0
4476,0,0,0.001,0
4487,0,0,-0.001,0
4499,0,0,0.001,0
4510,0.001,0,0.001,0
4522,0.001,0,0.001,0
4534,0,0,0,0
4546,0,0,0.001,0
4558,0,0,0.001,0
4569,0.001,0,-0.001,0
4581,-0.001,0,0,0
4593,0,0,0.001,0
4605,0.001,0,0.001,0
4617,0.001,0,0,0
4629,0,0,0.001,0
4641,-0.001,0,0,0
4653,0.001,0,0.002,0
4665,0,0,0.001,0
4677,-0.001,0,0,0
4689,-0.001,0,-0.001,0
4701,0.001,0,-0.001,0
4713,0,0,0.001,0
4725,0,0,0,0
4737,0,0,-0.002,0
4749,-0.001,0,0,0
4761,-0.001,0,-0.001,0
4773,0,0,-0.002,0
4785,0,0,-0.001,0
4797,-0.001,0,0,0
4809,0,0,-0.001,0
4821,0.001,0,0.002,0
4833,0,0,0,0
4844,-0.001,0,0.001,0
4856,-0.001,0,-0.001,0
4868,-0.001,0,0,0
4880,0,0,0.002,0
4891,-0.001,0,0,0
4903,0,0,0,0
4914,0,0,0.001,0
4926,0,0,-0.003,0
4938,0,0,0,0
4950,0,0,0.001,0
4962,0,0,0,0
4973,0,0,0,0
4985,0,0,0.001,0
4997,0,0,0,0
5009,0,0,0,0
5021,0,0,0.001,0
5033,0,0,0.001,0
5044,0,0,0,0
5055,0.001,0,0,0
5067,0,0,0.002,0
5079,0,0,0,0
5090,-0.001,0,0,0
5102,0,0,0,0
5114,0,0,0.001,0
5126,0,0,0,0
5138,-0.001,0,0,0
5150,-0.001,0,0,0
5162,0,0,0,0
5173,0,0,0.002,0
5185,0.001,0,0,0
5197,0.001,0,0.002,0
5209,0,0,0.001,0
5221,0,0,0,0
5232,0.001,0,0,0
5244,0,0,0.002,0
5256,0,0,0,0
5267,0,0,0,0
5279,0,0,-0.002,0
5291,0,0,0.002,0
5302,0,0,0,0
5313,0,0,-0.002,0
5325,0,0,0,0
5336,0,0,0,0
5347,0,0,0,0
5358,0,0,0,0
5370,0,0,0.001,0
5382,0,0,0.002,0
5394,0,0,0,0
5406,0,0,0,0
5418,0,0,0,0
5430,0.002,0,0.001,0
5442,0,0,-0.002,0
5454,0.001,0,0,0
5466,-0.001,0,0.002,0
5478,0.001,0,0.001,0
5490,-0.001,0,0.001,0
5502,0.001,0,0.002,0
5514,0.001,0,0,0
5526,0,0,-0.001,0
5538,0,0,-0.001,0
5550,-0.001,0,-0.001,0
5562,0,0,0.001,0
5574,0,0,0,0
5586,0,0,0,0
5597,0.001,0,-0.001,0
