Capture M1 step=0.200A (500 samples)
0,0.0022,-0.0025,0.000
1,0.0022,-0.0034,0.000
2,0.0022,-0.0034,0.000
3,0.0022,-0.0034,0.000
4,0.0022,-0.0034,0.000
5,0.0014,-0.0029,0.000
6,0.0014,-0.0029,0.000
7,0.0006,-0.0024,0.000
8,0.0006,-0.0024,0.000
9,0.0006,-0.0024,0.000
10,0.0006,-0.0024,0.000
11,0.0007,-0.0015,0.000
12,0.0007,-0.0015,0.000
13,0.0007,-0.0015,0.000
14,0.0007,-0.0015,0.000
15,0.0007,-0.0015,0.000
16,0.0007,-0.0015,0.000
17,0.0007,-0.0015,0.000
18,0.0007,-0.0015,0.000
19,-0.0001,-0.0009,0.000
20,-0.0001,-0.0009,0.000
21,-0.0008,0.0005,0.000
22,-0.0008,0.0005,0.000
23,-0.0015,0.0010,0.000
24,-0.0015,0.0010,0.000
25,-0.0015,0.0010,0.000
26,-0.0015,0.0010,0.000
27,-0.0015,0.0020,0.000
28,-0.0015,0.0020,0.000
29,-0.0007,0.0015,0.000
30,-0.0007,0.0015,0.000
31,-0.0007,0.0015,0.000
32,-0.0007,0.0015,0.000
33,-0.0007,0.0015,0.000
34,-0.0007,0.0015,0.000
35,0.0000,0.0000,0.000
36,0.0000,0.0000,0.000
37,0.0008,-0.0005,0.000
38,0.0008,-0.0005,0.000
39,-0.0008,-0.0004,0.000
40,-0.0008,-0.0004,0.000
41,-0.0001,-0.0009,0.000
42,-0.0001,-0.0009,0.000
43,-0.0001,-0.0009,0.000
44,-0.0001,-0.0009,0.000
45,-0.0001,-0.0009,0.000
46,-0.0001,-0.0009,0.000
47,-0.0001,-0.0009,0.000
48,-0.0001,-0.0009,0.000
49,0.0000,0.0000,0.000
50,0.0000,0.0000,0.200
51,0.0008,-0.0005,0.200
52,0.0008,-0.0005,0.200
53,0.0015,-0.0010,0.200
54,0.0015,-0.0010,0.200
55,0.0013,0.0167,0.200
56,0.0013,0.0167,0.200
57,0.0018,0.0456,0.200
58,0.0018,0.0456,0.200
59,0.0029,0.0810,0.200
60,0.0029,0.0810,0.200
61,0.0033,0.1197,0.200
62,0.0033,0.1197,0.200
63,0.0036,0.1556,0.200
64,0.0036,0.1556,0.200
65,0.0036,0.1878,0.200
66,0.0036,0.1878,0.200
67,0.0023,0.2140,0.200
68,0.0023,0.2140,0.200
69,0.0012,0.2313,0.200
70,0.0012,0.2313,0.200
71,-0.0005,0.2413,0.200
72,-0.0005,0.2413,0.200
73,-0.0019,0.2432,0.200
74,-0.0019,0.2432,0.200
75,-0.0030,0.2391,0.200
76,-0.0030,0.2391,0.200
77,-0.0037,0.2308,0.200
78,-0.0037,0.2308,0.200
79,-0.0037,0.2191,0.200
80,-0.0037,0.2191,0.200
81,-0.0039,0.2065,0.200
82,-0.0039,0.2065,0.200
83,-0.0032,0.1934,0.200
84,-0.0032,0.1934,0.200
85,-0.0025,0.1821,0.200
86,-0.0025,0.1821,0.200
87,-0.0015,0.1737,0.200
88,-0.0015,0.1737,0.200
89,-0.0011,0.1685,0.200
90,-0.0011,0.1685,0.200
91,-0.0005,0.1652,0.200
92,-0.0005,0.1652,0.200
93,0.0003,0.1647,0.200
94,0.0003,0.1647,0.200
95,0.0012,0.1660,0.200
96,0.0012,0.1660,0.200
97,0.0015,0.1707,0.200
98,0.0015,0.1707,0.200
99,0.0019,0.1753,0.200
100,0.0019,0.1753,0.200
101,0.0022,0.1799,0.200
102,0.0022,0.1799,0.200
103,0.0018,0.1851,0.200
104,0.0018,0.1851,0.200
105,0.0013,0.1893,0.200
106,0.0013,0.1893,0.200
107,0.0008,0.1936,0.200
108,0.0008,0.1936,0.200
109,0.0003,0.1969,0.200
110,0.0003,0.1969,0.200
111,-0.0004,0.1983,0.200
112,-0.0004,0.1983,0.200
113,-0.0012,0.1989,0.200
114,-0.0012,0.1989,0.200
115,-0.0012,0.1989,0.200
116,-0.0012,0.1989,0.200
117,-0.0005,0.1974,0.200
118,-0.0005,0.1974,0.200
119,-0.0006,0.1965,0.200
120,-0.0006,0.1965,0.200
121,-0.0007,0.1955,0.200
122,-0.0007,0.1955,0.200
123,-0.0008,0.1937,0.200
124,-0.0008,0.1937,0.200
125,-0.0009,0.1928,0.200
126,-0.0009,0.1928,0.200
127,-0.0009,0.1918,0.200
128,-0.0009,0.1918,0.200
129,-0.0002,0.1904,0.200
130,-0.0002,0.1904,0.200
131,0.0005,0.1899,0.200
132,0.0005,0.1899,0.200
133,0.0005,0.1899,0.200
134,0.0005,0.1899,0.200
135,0.0014,0.1903,0.200
136,0.0014,0.1903,0.200
137,0.0014,0.1912,0.200
138,0.0014,0.1912,0.200
139,0.0015,0.1921,0.200
140,0.0015,0.1921,0.200
141,0.0015,0.1921,0.200
142,0.0015,0.1921,0.200
143,0.0008,0.1936,0.200
144,0.0008,0.1936,0.200
145,0.0000,0.1941,0.200
146,0.0000,0.1941,0.200
147,0.0000,0.1941,0.200
148,0.0000,0.1941,0.200
149,-0.0007,0.1955,0.200
150,-0.0007,0.1955,0.200
151,-0.0007,0.1955,0.200
152,-0.0007,0.1955,0.200
153,-0.0006,0.1965,0.200
154,-0.0006,0.1965,0.200
155,-0.0004,0.1983,0.200
156,-0.0004,0.1983,0.200
157,-0.0004,0.1983,0.200
158,-0.0004,0.1983,0.200
159,-0.0004,0.1993,0.200
160,-0.0004,0.1993,0.200
161,-0.0004,0.1993,0.200
162,-0.0004,0.1993,0.200
163,-0.0004,0.1983,0.200
164,-0.0004,0.1983,0.200
165,-0.0005,0.1974,0.200
166,-0.0005,0.1974,0.200
167,-0.0005,0.1974,0.200
168,-0.0005,0.1974,0.200
169,-0.0006,0.1965,0.200
170,-0.0006,0.1965,0.200
171,-0.0007,0.1955,0.200
172,-0.0007,0.1955,0.200
173,-0.0007,0.1946,0.200
174,-0.0007,0.1946,0.200
175,-0.0007,0.1946,0.200
176,-0.0007,0.1946,0.200
177,0.0000,0.1941,0.200
178,0.0000,0.1941,0.200
179,0.0001,0.1950,0.200
180,0.0001,0.1950,0.200
181,0.0001,0.1950,0.200
182,0.0001,0.1950,0.200
183,0.0002,0.1959,0.200
184,0.0002,0.1959,0.200
185,0.0003,0.1969,0.200
186,0.0003,0.1969,0.200
187,-0.0004,0.1983,0.200
188,-0.0004,0.1983,0.200
189,-0.0004,0.1993,0.200
190,-0.0004,0.1993,0.200
191,-0.0004,0.1993,0.200
192,-0.0004,0.1993,0.200
193,-0.0004,0.1993,0.200
194,-0.0004,0.1993,0.200
195,-0.0004,0.1993,0.200
196,-0.0004,0.1993,0.200
197,-0.0004,0.1993,0.200
198,-0.0004,0.1993,0.200
199,-0.0004,0.1983,0.200
200,-0.0004,0.1983,0.200
201,-0.0004,0.1983,0.200
202,-0.0004,0.1983,0.200
203,-0.0004,0.1983,0.200
204,-0.0004,0.1983,0.200
205,-0.0005,0.1974,0.200
206,-0.0005,0.1974,0.200
207,-0.0005,0.1974,0.200
208,-0.0005,0.1974,0.200
209,0.0003,0.1969,0.200
210,0.0003,0.1969,0.200
211,0.0010,0.1963,0.200
212,0.0010,0.1963,0.200
213,0.0018,0.1958,0.200
214,0.0018,0.1958,0.200
215,0.0018,0.1958,0.200
216,0.0018,0.1958,0.200
217,0.0019,0.1968,0.200
218,0.0019,0.1968,0.200
219,0.0012,0.1982,0.200
220,0.0012,0.1982,0.200
221,0.0012,0.1982,0.200
222,0.0012,0.1982,0.200
223,0.0004,0.1987,0.200
224,0.0004,0.1987,0.200
225,0.0004,0.1987,0.200
226,0.0004,0.1987,0.200
227,0.0004,0.1987,0.200
228,0.0004,0.1987,0.200
229,0.0005,0.1997,0.200
230,0.0005,0.1997,0.200
231,0.0005,0.1997,0.200
232,0.0005,0.1997,0.200
233,0.0005,0.1997,0.200
234,0.0005,0.1997,0.200
235,-0.0002,0.2020,0.200
236,-0.0002,0.2020,0.200
237,-0.0002,0.2011,0.200
238,-0.0002,0.2011,0.200
239,-0.0003,0.2002,0.200
240,-0.0003,0.2002,0.200
241,-0.0003,0.2002,0.200
242,-0.0003,0.2002,0.200
243,-0.0004,0.1993,0.200
244,-0.0004,0.1993,0.200
245,-0.0004,0.1983,0.200
246,-0.0004,0.1983,0.200
247,-0.0004,0.1993,0.200
248,-0.0004,0.1993,0.200
249,-0.0004,0.1993,0.200
250,-0.0004,0.1993,0.200
251,-0.0004,0.1993,0.200
252,-0.0004,0.1993,0.200
253,-0.0004,0.1993,0.200
254,-0.0004,0.1993,0.200
255,-0.0004,0.1993,0.200
256,-0.0004,0.1993,0.200
257,0.0004,0.1987,0.200
258,0.0004,0.1987,0.200
259,-0.0004,0.1993,0.200
260,-0.0004,0.1993,0.200
261,-0.0004,0.1993,0.200
262,-0.0004,0.1993,0.200
263,-0.0004,0.1993,0.200
264,-0.0004,0.1993,0.200
265,0.0003,0.1978,0.200
266,0.0003,0.1978,0.200
267,0.0003,0.1978,0.200
268,0.0003,0.1978,0.200
269,0.0004,0.1987,0.200
270,0.0004,0.1987,0.200
271,0.0004,0.1987,0.200
272,0.0004,0.1987,0.200
273,0.0004,0.1987,0.200
